Job Title,Company (Locale),Remote,Timezone difference from Ireland,Salary,Summary,Required Skills,Bonus Skills
Lead Gameplay Programmer ,"Improbable (UK, London)",Remote (hybrid optional),0  ,"Estimated 80,000 - 100,000 EUR (not listed)","Lead and mentor a team of gameplay programmers, own delivery of gameplay features, ensure use of best practices in software engineering processes. Work on metaverse projects.","- Software engineering processes, - Team leadership, - Unity, - C","- Metaverse experience, - Multiplayer/networking , - Cloud computing, - VR/AR, - Mentorship abilities"
Senior Engineer ,Spry Fox (Remote),Fully remote ,"Flexible hours, overlap 9am-1pm PST","Estimated $150,000 - $200,000 USD ",Work on sequel to hit life sim game Cozy Grove using Unity and C#. Support live service game. Autonomous work and leadership. Make the world better through games. ,"- 7+ years Unity game development , - C","- Backend/multiplayer development, - Interests outside of work, - Multiple shipped games"
Senior Unity Developer,Virtual Beings (Remote) ,Fully remote,Flexible,"Not listed, ""very attractive"" mentioned ","Improve developer experience of AI character engine. Owner of tools, pipeline, CI/CD. Ambitious startup working on next generation of game AI.",- Expert Unity and C,"- Blender pipeline, - Editor tools experience, - CI/CD familiarity"
Lead Tools Programmer - IE  ,"Keen Software House (Dublin, Ireland)",Remote possible,0,"Not listed, estimated 60,000 - 80,000 EUR","Lead team of 3+ developers on editor and tools for Space Engineers using C#, .NET, WPF, XAML. Mentor others. ",- 5+ years C,"- Game development  , - Testing, - Math and physics , - Interest in science/space, - Avid gamer"
Senior Software Engineer,"nineDots.io (Dublin, Ireland)  ",Hybrid ,0,"80,000 - 100,000 EUR","Golang backend development on upcoming MMO game. Microservices, networking, databases. Can shape architecture and design.","- Backend development, - Building services at scale, - Databases, - Networking , - Server architectures","- Golang, - TypeScript, - AWS, - Distributed systems, - Unreal Engine"
Senior Tools Programmer - IE,"Keen Software House (Dublin, Ireland)",Remote possible,0 ,"Not listed, estimated 60,000 - 80,000 EUR","Develop editor and tools for Space Engineers using C#, .NET, WPF, XAML. Need to understand user needs.",- 5+ years C,"- Game development , - Testing, - Math and physics, - Interest in science/space , - Avid gamer"
Full Stack Engineer ,"myPatientSpace (Malahide, Ireland)",Hybrid,0 ,"Not listed, estimated 60,000 - 80,000 EUR",Design and develop React apps and core components integrating latest AI tech for healthcare industry.,"- React, - JavaScript, - Node.js, - UI design, - Healthcare industry experience","- Java Spring, - Python, - NoSQL databases, - FHIR/healthcare APIs, - GDPR/HIPAA"
Senior Software Engineer for LLM-driven agents,"GoodAI (Prague, Czech Republic)",Remote possible ,0,"Not listed, estimated 70,000 - 90,000 EUR ","Develop and maintain large language model driven agents. Experience with Python, testing, shipping products.","- Python, - Testing , - Shipping products, - Communication skills","- Prompt engineering, - Django, - Async programming	, - Docker, - Frontend development"
Gameplay Engineer - Maxis (The Sims),Electronic Arts (Ireland),Remote ,0 ,"Not listed, estimated 70,000 - 90,000 EUR",Extend Python gameplay systems and UI for The Sims 4. Collaborate with design team.,"- 3+ years gameplay/UI development, - Python or C++, - Windows development, - Optimization","- Animation/navigation systems, - Data-driven games, - Live services , - Testing frameworks"
Technical Team Lead (Core Technologies),"Scopely (Dublin, Ireland)  ",Hybrid ,0,"Not listed, estimated 80,000 - 100,000 EUR",Lead and manage team working on core game technologies. Enhance architecture for scalability and maintainability. Implement new features and improvements to processes.,"- 3+ years leading teams, - 5+ years core technology experience, - Software architecture, - Stakeholder collaboration, - C","- Game engines, - Cloud technologies, - Automated testing, - Continuous integration"
Senior Game Client Engineer  ,"Scopely (Dublin, Ireland)",Hybrid,0,"Not listed, estimated 70,000 - 90,000 EUR","Develop efficient tech for mobile games on Unity. Work across multiple projects and with varied stakeholders. Focus on performance, efficiency and usability.  ","- 3+ years game development  , - Unity, C","- Mobile development, - Graphics programming, - Native iOS/Android, - Networking"
Senior Tech Artist,"2K (Dublin, Ireland)",Hybrid  ,0,"Not listed, estimated 70,000 - 90,000 EUR","Create tools, pipelines and processes for game assets, environments and graphics. Collaborate with artists and programmers.","- 3-5+ years technical art experience, - Unity, Unreal, - C++, C","- Shaders, lighting, VFX, - Houdini, - Maya, Blender, 3DS Max, - Substance 3D"
Head of Technical Art,"2K (Dublin, Ireland)",Hybrid,0 ,"Not listed, estimated 90,000 - 120,000 EUR ",Build and lead a team of technical artists supporting 2K studios worldwide. Ensure project quality and team member growth.,"- 10+ years technical art and leadership , - Project management methodologies , - Building relationships, - Communication and leadership","- Background in film/TV, - Emerging trends in technical art, - JIRA, Confluence"
Senior Game Designer - Maxis (The Sims),"Electronic Arts (Galway, Ireland)  ",Remote,0,"Not listed, estimated 80,000 - 100,000 EUR",Oversee and mentor designers working on The Sims 4. Guide design vision and goals. Collect feedback and playtest results to shape new features and content.,"- 7+ years game design experience, - Game engines like Unity, - Design documentation, - Creative problem solving, - The Sims franchise","- Technical design background, - Large team experience  , - LiveOps service experience, - Simulation game experience"
Lead Game Programmer - Mobile Games,Kwalee (UK),Remote  ,0,"Not listed, estimated 70,000 - 90,000 EUR",Code and develop hit mobile games in Unity/C#. Lead and mentor programmers. Work with producer to deliver roadmap.,- 5+ years Unity/C,"- Backend development, - Android build pipelines, - REST APIs, - LiveOps experience"
Senior Game Programmer - Casual Mobile Games,Kwalee (UK) ,Remote,0,"Not listed, estimated 60,000 - 80,000 EUR   ",Develop casual mobile games using C# and Unity. Work as part of an experienced team.,- 5+ years C,"- 3D/2D gameplay , - Prototyping, - Android build pipelines, - REST APIs"
Senior Unity Developer,Gameplay Galaxy (Remote),Remote,Flexible ,"Not listed, estimated 70,000 - 90,000 EUR",Develop and maintain high quality mobile games using Unity. Make decisions on architecture and implementations. Identify and fix problems. ,"- 3+ years professional Unity development, - C","- Console or multi-platform experience, - Graphical programming , - Game engines"
